goldens,generated_text,labels
"This post shows the stress cause related to work. Reasoning: The post references ""work in general,"" suggesting that occupational challenges are a source of tension for the individual. The post also brings up their involvement in the real estate market, which can be categorized as ""Others"" since it doesn't align with the listed specific stressors. This might stem from the strain of locating a suitable living space or navigating the unpredictable nature of property markets. In essence, both professional issues and the uncertainties of real estate seem to be stress-inducing factors for the writer.","

Answer: The appropriate label for this post is Work. The post mentions work in general, indicating that the poster is experiencing stress related to their job. Additionally, the post mentions searching the real estate market, which could potentially be related to work-related tasks or responsibilities. Therefore, the most appropriate label for this post is Work.",work
"This post shows the stress cause related to work. Reasoning: The post directly mentions the desire to find another job, indicating dissatisfaction or stress related to their current employment situation.","

Reasoning: The post mentions that the poster has been wanting to find another job for some time now. This indicates that they are experiencing dissatisfaction or unhappiness with their current job, which falls under the category of work-related stress. Therefore, the appropriate label for this post is Work.",work
"This post shows the stress cause related to family issues. Reasoning: The post mentions the health condition of the poster's sister, which falls under Health issues. Additionally, the mention of the family being devastated indicates that this health news is causing stress and concern within the family, categorizing it under Family issues.","

This post indicates that the poster's sister has tested positive for ovarian cancer and that the family is devastated. This suggests that the cause of stress in this situation is health issues, specifically the sister's diagnosis of ovarian cancer. The post does not mention any other potential stress causes, making health issues the most appropriate label in this case.",health
"This post shows the stress cause related to school. Reasoning: The message clearly points to ""school"" as a source of the individual's stress. It implies that academic obligations or duties are causing strain, categorizing it under the School stress factor. Although other aspects might also be causing stress, the explicit reference to school shows it's the main concern in this context.","

A) School
B) Other causes
C) Family issues
D) Health issues

Reasoning: The post explicitly mentions that it is hard with school and stuff. While it does not provide specific details about the other causes, the mention of school suggests that it is a significant source of stress for the poster. Therefore, the appropriate label for this post is A) School.",school
"This post shows the stress cause related to family issues. Reasoning: The post discusses preparing a meal for the in-laws and conveys a feeling that the poster is not liked by them. This suggests the presence of family tensions or disagreements causing stress for the individual. The main cause of stress highlighted here revolves around their relationship with the in-laws and feeling unappreciated or disliked. Therefore, the Family issues label is fitting for this post.","

Reasoning: The post mentions cooking dinner for the in-laws and feeling like they hate the poster. This suggests that the poster may be experiencing interpersonal conflicts or strained relationships with their in-laws, which can be a significant source of stress. Therefore, the appropriate label for this post is Social relationships.",social
"This post shows the stress cause related to health issues. Reasoning: The post indicates that the individual experienced a physical injury, specifically to their foot, which resulted in bruising. This kind of situation would fall under the ""Health issues"" category since it pertains to a physical ailment or injury. The individual might be experiencing discomfort, pain, or concern about the bruise, all of which can lead to stress. Therefore, based on the information given, the most appropriate label for this post is ""Health issues.""","

A) Health issues
B) Social relationships
C) Work
D) Emotional turmoil

Correct answer: A) Health issues. Reasoning: The post mentions that the poster's foot got stepped on and is now bruised. This indicates a physical injury, which falls under the category of health issues as a stress cause. The post does not mention any social relationships, work-related stress, or emotional turmoil, making health issues the most appropriate label in this case.",health
"This post shows the stress cause related to work. Reasoning: The appropriate label for this post is ""Work."" The poster is expressing concern about the potential impact of the ""current virus situation"" on their employment status. This uncertainty and potential threat to their job security falls squarely under the category of Work-related stress.","

A. Family issues
B. Financial problem
C. Health issues
D. Work

Reasoning: The post specifically mentions the current virus situation and its potential impact on the poster's job. This indicates that their stress is related to their work situation, making D the appropriate label in this case.",work
"This post shows the stress cause related to school. Reasoning: The post clearly highlights the individual's distress over the volume of homework they have to tackle today, pointing to academic-related stress. Moreover, by using the term ""depressed"", it's evident that the individual is emotionally affected by the daunting tasks ahead.","

Answer: This post shows the stress cause related to school. Reasoning: The post explicitly mentions being depressed about the amount of homework that needs to be done. This indicates that the stress is related to academic responsibilities and falls under the category of school as a stress cause.",school
"This post shows the stress cause related to financial problem. Reasoning: The post straightforwardly addresses concerns regarding finances by using the term ""stressing about money."" This implies that the individual is facing challenges related to their financial situation, which could range from immediate expenses, debts, or even long-term financial security. Given the lack of additional context about specific money-related issues, the most fitting label for this post is ""Financial problem."" It encapsulates the broad nature of the concerns the poster might be grappling with, highlighting the pressure and anxiety that often come with financial uncertainties.","

Reasoning: The post mentions stressing about money in general, indicating that the poster is experiencing stress related to their financial situation. While the post does not provide specific details about the cause of the financial stress, the mention of money falls under the category of financial problem as a stress cause.",financial
"This post shows the stress cause related to family issues. Reasoning: The post suggests that an individual (""he"") might have experienced some form of negative influence or possibly emotional manipulation from his mother. The indication that he was ""traumatized by his mom"" directly links to Family issues as the root cause of his current behavior or feelings. This trauma might have instilled in him a compulsive need to always be occupied or productive, causing him distress when he is idle. This compulsive behavior and the distress it causes can be associated with Emotional turmoil. Therefore, based on the details provided in the post, the primary stress causes appear to be rooted in both Family issues and Emotional turmoil.","

In this post, the poster mentions that they think someone was traumatized by their mom to always have something to do and not sit idly doing nothing. This suggests that the poster is attributing the stress to the individual's upbringing and their relationship with their mother. Therefore, the appropriate label for this post is Family issues.",family
"This post shows the stress cause related to social relationships. Reasoning: The mention of fights with the partner falls under the category of Family issues (or, depending on the context, it could also be seen as Social relationships). The expressed sentiment of being ""really stressed out"" over these fights indicates the presence of Emotional turmoil.","

Reasoning: The post mentions that the poster and their partner have been fighting, which indicates a relationship issue. This falls under the category of social relationships as a stress cause. The post does not mention any other potential stress causes, making social relationships the most appropriate label in this case.",social
"This post shows the stress cause related to family issues. Reasoning: The post directly references ""divorce"", a substantial family matter known to induce considerable stress. Navigating a divorce encompasses handling legal procedures, confronting emotional challenges, grappling with financial ambiguities, and possibly changing one's residence. Therefore, the most fitting label for this post is Family issues.","

Answer: The appropriate label for this post is Family issues. The post explicitly mentions divorce, which is a significant family issue that can cause a great deal of stress. The mention of being stressed out further supports the idea that the poster is experiencing stress related to their divorce.",family
"This post shows the stress cause related to financial problem. Reasoning: The post references concerns about a car that seems to be malfunctioning or deteriorating (""on its last legs"") and mentions the specific need for ""breaks"" (likely meant to be ""brakes""). This indicates financial constraints since they can't afford the necessary repairs, thereby categorizing it under ""Financial problem."" Additionally, the stress of potentially not having a functioning vehicle and the safety concerns associated with not being able to get the brakes fixed can fall under the ""Others"" category, as it doesn't strictly align with any of the predefined causes of stress.","

Answer: This post shows the stress cause related to financial problem. Reasoning: The post mentions that the car is on its last legs and the poster is worried because they need breaks but can't get them. This suggests that the poster is experiencing financial difficulties in getting the necessary repairs for their car. This falls under the category of financial problem as a stress cause.",financial
"This post shows the stress cause related to social relationships. Reasoning: The post points towards the complexities of the individual's personal relationships, specifically with their boyfriend. The statement ""moved in with my boyfriend too quickly"" directly implicates relationship decisions and dynamics as a primary source of stress, thus fitting under the ""Social relationships"" category.Furthermore, the realization ""I don't really like him now"" suggests a deep internal conflict and emotional struggle, which categorizes the stressor under ""Emotional turmoil"". The combination of making a rapid decision to cohabit and the subsequent emotional regret can be distressing for the individual.","

Reasoning: The post mentions that the poster moved in with their boyfriend too quickly and now realizes that they don't really like him. This indicates that the poster is experiencing stress in their romantic relationship. The decision to move in together too quickly and the realization that they don't like their boyfriend can create feelings of uncertainty, confusion, and potentially even heartbreak, all of which are common stressors in romantic relationships. Therefore, the appropriate label for this post is Relationship.",social
"This post shows the stress cause related to school. Reasoning: The post clearly highlights the challenge of juggling both work and academic commitments, suggesting these are the primary stressors for the individual. Navigating the demands of both a job and education can be daunting, resulting in stress. As such, the fitting labels for this post would be School and Work.","

A. School
B. Work
C. Family issues
D. Health issues

Reasoning: The post explicitly mentions having problems balancing work and school. This indicates that the poster is experiencing stress related to their academic responsibilities and their job. While family issues and health issues could also be contributing factors, the direct mention of work and school suggests that these two factors are the primary causes of stress in this situation. Therefore, the appropriate label for this post is B. Work.",work
"This post shows the stress cause related to health issues. Reasoning: The post mentions ""severe pain,"" which directly relates to a health concern or condition causing the individual distress.","

This post is likely a typo or a misspelling, and the intended word is ""top the pain"" rather than ""tha toff"". However, even with this correction, the post is still unclear and does not provide enough information to determine the cause of stress. The phrase ""being in severe pain"" could potentially indicate physical health issues, but it could also be related to emotional or psychological pain. Without further context or information, it is difficult to assign a specific label for the cause of stress.",health
"This post shows other stress causes. Reasoning: ""Lately it all seems to be going wrong"" is a broad statement that might encompass a range of issues not specifically mentioned, so the category ""Others"" is also appropriate.","

A) Health issues
B) Family issues
C) Work-related stress
D) Financial problems
E) Emotional turmoil

Reasoning: The post mentions that everything seems to be going wrong since the poster last moved. This suggests that the stress is related to the recent move, which falls under the category of Family issues. Moving can be a significant life change and can bring about a variety of challenges and uncertainties, leading to emotional turmoil. Therefore, the appropriate label for this post is Family issues.",family
"This post shows the stress cause related to financial problem. Reasoning: The post directly refers to challenges related to income (""I haven't been making as much money as I need""), which falls under the category of Financial problem. Additionally, the mention of working hard indicates stress related to the workplace, so the category of Work is also relevant.","

A. Financial problem
B. Work
C. Both Financial problem and Work

Correct answer: C. Both Financial problem and Work.

Reasoning: The post mentions not making enough money and working hard, indicating financial difficulties and work-related stress. Both of these factors contribute to the overall stress level, making it appropriate to assign the label of Both Financial problem and Work.",financial
"This post shows the stress cause related to work. Reasoning: The post mentions a situation involving the poster's boss and a report, which clearly points to stressors related to the workplace. Hence, the appropriate label for this post is Work.","

This post indicates that the poster's boss was driving them nuts with a report. While the post does not explicitly mention any specific cause of stress, it suggests that the stress is related to the boss and their report. This falls under the category of work-related stress, as the stress is caused by the poster's work situation and their interactions with their boss.",work
"This post shows the stress cause related to social relationships. Reasoning: The post speaks about interactions with people trying to manipulate the poster's emotions, suggesting issues in their social relationships. Additionally, being guilt-tripped can lead to inner conflict and emotional distress, hence the label Emotional turmoil.","

A. Social relationships
B. Emotional turmoil
C. Family issues
D. Everyday decision making

Correct answer: A. Social relationships. Reasoning: The post mentions people trying to guilt trip the poster into doing something they don't want to do. This suggests that the stress is related to social relationships and the pressure being exerted by others.",social
"This post shows the stress cause related to financial problem. Reasoning: The post specifically references a ""loan"" as the source of frustration, indicating stress related to financial matters.","

A. Financial problem
B. Work
C. Family issues
D. Health issues

Reasoning: The post mentions that the loan is holding everything else up, indicating that the poster is experiencing financial difficulties or stress related to their finances. This falls under the category of financial problem as a stress cause.",financial
"This post shows the stress cause related to school. Reasoning: The post directly mentions challenges related to being in school, implying that academic responsibilities and the school environment are causing stress for the poster.","

Answer: This post shows the stress cause related to school. Reasoning: The post explicitly mentions that all of these things happen while the poster is in school, indicating that their stress is directly related to their academic responsibilities and environment. This falls under the category of School as a stress cause.",school
"This post shows the stress cause related to family issues. Reasoning: The post reflects concerns regarding the behavior and habits of the poster's child, categorizing it under Family issues.","

Reasoning: The post explicitly mentions that the poster is having difficulty getting their child to study. This indicates that the stress is related to their role as a parent and their concerns about their child's academic performance. Therefore, the appropriate label for this post is Family issues.",family
"This post shows the stress cause related to emotion turmoil. Reasoning: The post conveys strong feelings of frustration and the pressing need to locate something. This indicates that the poster is dealing with significant emotional stress. Without details pointing towards specific categories like work, school, or family, it's clear that emotional turmoil is the primary source of the stress described.","

A) Emotional turmoil
B) Financial problem
C) Health issues
D) Family issues

Reasoning: The post mentions being ""pissed"" and potentially freaking out if something is not found. This suggests a high level of emotional distress and anxiety, indicating emotional turmoil as the most appropriate label. There is no mention of any specific cause such as financial problems, health issues, or family issues, making emotional turmoil the most suitable choice in this case.",emotional
"This post shows the stress cause related to social relationships. Reasoning: The post highlights feelings of distrust, an aversion to communication, and tendencies towards violent and internal rebellion. Such strong emotions point to profound emotional distress the poster is undergoing. Moreover, attributing these feelings to a specific individual indicates that interpersonal conflicts or negative interactions are at the core of this stress. As such, the fitting labels for this post are Emotional turmoil and Social relationships.","

This post suggests that the poster is experiencing anger and resentment towards someone who they feel has caused them to distrust others, dislike talking, and be violent and rebellious. While the post does not explicitly mention the cause of this anger and resentment, it does provide some insight into the emotions and behaviors that the poster is experiencing.

Based on the information provided, it is possible that the cause of stress in this situation is related to a past traumatic experience or abusive relationship. The poster's negative emotions and behaviors may be a result of the trauma or abuse they have experienced, leading to difficulties in trusting others and exhibiting violent and rebellious tendencies. Therefore, the appropriate label for this post would be Trauma.",emotional
"This post shows the stress cause related to financial problem. Reasoning: The appropriate labels for this post are Health issues and Financial problem. The mention of ""coronavirus situation"" in relation to the poster's health indicates concern about potential health implications. Additionally, the mention of finances suggests that the pandemic might be impacting the individual's financial stability or situation.","

A. Health issues
B. Financial problem
C. Emotional turmoil
D. Other causes

Reasoning: The post explicitly mentions the coronavirus situation as it relates to the poster's health and finances. This indicates that the stress is primarily caused by health issues and financial problems. Therefore, the appropriate label for this post is B (Financial problem) and A (Health issues).",financial
This post shows the stress cause related to health issues. Reasoning: The mention of extreme fatigue and the inability to wake up indicates a potential health concern or issue related to the individual's well-being.,"

Reasoning: The post does not provide any specific information about the cause of stress. It only mentions feeling tired and unable to wake themselves up. There is no mention of any specific stressors such as work, school, family issues, etc. Therefore, it is not possible to determine the exact cause of stress based on this post alone.",work
"This post shows the stress cause related to social relationships. Reasoning: The appropriate labels for this post are Social relationships and Everyday decision making. The mention of turning down friends and family relates to interpersonal dynamics and relationships, while the difficulty in making time-based decisions falls under the category of everyday decision-making challenges.","

A. Family issues
B. Social relationships
C. Time management
D. Emotional turmoil

Correct answer: B. Social relationships.

Reasoning: The post mentions the difficulty of turning down friends and family when they invite the poster to do something that they want to do, but don't have time for. This suggests that the stress is related to the poster's social relationships and the pressure to balance their own desires with their commitments to others. While there may be some emotional turmoil involved in this situation, the primary cause of stress in this instance is the interplay between the poster's social relationships and their time management. Therefore, the appropriate label for this post is B. Social relationships.",social
"This post shows the stress cause related to work. Reasoning: The post highlights the challenge of managing time between work and other responsibilities,  indicating that job responsibilities are a primary source of stress. Additionally, the mention of the dilemma between cleaning the house and other tasks suggests that making decisions about how to allocate time adds to the stress. In essence, both work commitments and the demands of daily decisions are contributing to the poster's stress levels.","

Answer: This post shows the stress cause related to everyday decision making. The post mentions having to clean the house and feeling overwhelmed by work and the outfit, indicating that the poster is struggling with prioritizing tasks and making decisions about how to allocate their time and energy. This falls under the category of everyday decision making as a stress cause.",everyday
"This post shows the stress cause related to family issues. Reasoning: The post specifically mentions the individual's ""annoying sister"" as a source of stress. When someone references a family member in relation to feelings of stress or annoyance, it typically implies some kind of familial conflict or tension. In this case, the mention of the sister as being ""annoying"" indicates that there might be disagreements, differing opinions, or behavioral aspects that are causing strain in their relationship.","

This post indicates that the poster's sister has been stressing them. This suggests that the cause of stress is related to their relationship with their sister, falling under the category of family issues.",family
"This post shows the stress cause related to social relationships. Reasoning: The post brings forth feelings of detachment and potential isolation from the poster's circle of friends. When the poster mentions, ""sometimes I get sick of my friends,"" it indicates a sense of discomfort or dissatisfaction with their current social relationships. This is further emphasized by the statement ""a lot of the time I don't feel like I fit in with them,"" suggesting feelings of alienation and not belonging in their chosen group of friends.","

This post suggests that the poster is experiencing social relationships issues. The poster mentions that they get sick of their friends because they don't feel like they fit in with them. This indicates a lack of connection and potential feelings of isolation within their social circle, which falls under the category of social relationships as a stress cause.",social
"This post shows the stress cause related to health issues. Reasoning: This is the primary cause for stress. When someone mentions pain affecting fundamental activities like eating, sleeping, and walking, it signifies serious health concerns. Chronic or acute pain can profoundly influence a person's quality of life and often leads to stress, particularly if the source of the pain is unknown or if it's chronic.","

This post indicates that the poster is experiencing severe pain that is affecting their ability to perform basic functions such as eating, sleeping, urinating, and walking. This suggests that the cause of stress is related to a physical health issue, such as a chronic illness or injury. Therefore, the appropriate label for this post is Health issues.",health
"This post shows the stress cause related to health issues. Reasoning: The mention of the ""coronavirus pandemic"" clearly indicates concerns related to health, as the pandemic has direct implications for individual and public health.The part ""How about you?"" indicates a broader societal impact, meaning it's not just personal but affects a wider community, which can be encapsulated under the ""Others"" category.","

Correct answer: Health issues. Reasoning: The post mentions the coronavirus pandemic, which is a global health crisis. The stress is likely due to concerns about contracting the virus, the impact on one's health, and the overall uncertainty and anxiety surrounding the pandemic. Therefore, the appropriate label for this post is Health issues.",health
